Company,Post,Location,Stipend,Experience
Sanya J Taneja,Assistant Fashion Designer,Delhi,200000.0,1 year(s)
Reflex Realty LLP,Human Resources (HR) Executive,Mumbai,200000.0,1 year(s)
Wehire Talent Solutions,Customer Service Associate,Mumbai,250000.0,0 year(s)
Saroj Education Group,Marketing Executive(Eastern UP),"Agra, Ghaziabad, Jaunpur, Lucknow, Faizabad, Mirzapur, Amethi, Kushinagar, Ambedkar Nagar, Varanasi, Allahabad, Kaushambi, Kanpur Dehat, Bahraich, Gorakhpur",200000.0,0 year(s)
Cosmos Staffing Solutions,Human Resources (HR) Executive,Mumbai,200000.0,1 year(s)
Rajdhani Enterprises,Corporate Sales Executive,Jaipur,200000.0,0 year(s)
Candies Studio,Community Manager,Pune,230000.0,1 year(s)
TheCoinRepublic,Business Development Executive,Bhopal,600000.0,1 year(s)
RegisterKaro,Junior Social Media Marketing Associate,Gurgaon,300000.0,1 year(s)
Filmy Curry Private Limited,Influencer Marketing Manager,"Indore, Bhopal",300000.0,1 year(s)
Pravasa.in,Travel Sales Specialist,Delhi,240000.0,1 year(s)
Health Total By Anjali Mukerjee,Telecaller,Mumbai,290000.0,1 year(s)
Glambox Xperience & Xpositions,Field Sales Executive,"Thane, Mumbai, Delhi",340000.0,1 year(s)
CACR,Communications Officer,Mumbai,360000.0,1 year(s)
Hiring Squad,Administration Executive,Mumbai,300000.0,1 year(s)
TheCoinRepublic,Business Development Executive,"Indore, Vidisha, Hoshangabad, Bhopal, Sehore, Misrod, Mandideep",600000.0,1 year(s)
Ace Proton Communications & Digital Media Private Limited,Junior Search Engine Optimization (SEO) Executive,Mumbai,200000.0,1 year(s)
Taxeasy Solutions Private Limited,Tax Executive,Delhi,200000.0,0 year(s)
MAP Solutions,Administration Associate,"Pune, Wagholi, Wadgaon, Kharadi, Mundhwada",300000.0,1 year(s)
Elevate X Solutions,Tele Sales Executive,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida",310000.0,1 year(s)
Bhavana Televentures Limited,Business Development Executive,Mumbai,360000.0,1 year(s)
ALCHEMY ART STUDIO,Business Development Executive,Delhi,201000.0,0 year(s)
Designer World Of Watches & Manufacturing LLP,Junior Social Media Marketing Manager,Mumbai,200000.0,1 year(s)
APTAGRIM CONSULTING PRIVATE LIMITED,Revit Engineer,Hyderabad,350000.0,1 year(s)
CyberFrat,Assistant HR Manager,Mumbai,280000.0,1 year(s)
OBLIQ,Junior Social Media Marketing Associate,Mumbai,200000.0,1 year(s)
Filmy Curry Private Limited,Executive (Business Development),Mumbai,200000.0,1 year(s)
Ace Proton Communications & Digital Media Private Limited,Junior Motion Graphics Associate,Mumbai,200000.0,0 year(s)
Croda India,Administration Specialist,"Navi Mumbai, Mumbai",240000.0,0 year(s)
SR INTERIOR DESIGNS PRIVATE LIMITED,Interior Designer,"Ahmedabad, Gandhinagar, Indore, Rajkot, Surat, Udaipur, Rajasthan, Madhya Pradesh",200000.0,0 year(s)
PROJECT FITNESS,Female Sales Receptionist,Lucknow,210000.0,1 year(s)
JAM Productions & Writers Bridge,Creative Writer & Communication Manager,Mumbai,216000.0,1 year(s)
Cosmos Staffing Solutions,Customer Acquisition Associate,Gurgaon,250000.0,0 year(s)
Techcanvass,Marketing Executive,"Thane, Navi Mumbai, Mumbai",300000.0,1 year(s)
Mentors Educational Services Private Limited,Business Research Associate,Delhi,250000.0,0 year(s)
Zi Cloud,Digital Marketing Manager,Mumbai,300000.0,1 year(s)
Gifts & Promotions International,Junior Operations Associate,Mumbai,200000.0,0 year(s)
Travel Lykke Private Limited,Travel Experience Coordinator,Jaipur,300000.0,0 year(s)
Ace Proton Communications & Digital Media Private Limited,Junior Social Media Marketing Executive,Mumbai,200000.0,0 year(s)
Daliso Global,Business Development Executive,Thane,220000.0,1 year(s)
Saroj Education Group,Marketing Executive (Mumbai- MBA Only),Mumbai,300000.0,0 year(s)
Entrepreneur Excel,Junior Social Media Marketing Executive,Mumbai,240000.0,1 year(s)
Letstute,Business Development Executive,Mumbai,200000.0,0 year(s)
CyberFrat,Business Development Executive,Mumbai,300000.0,1 year(s)
Zedex Info Private Limited,Corporate Sales Executive,Mumbai,200000.0,0 year(s)
RegisterKaro,Human Resource Admin,"Gurgaon, Jaipur",200000.0,1 year(s)
Cosmos Staffing Solutions,Customer Acquisition Associate,Gurgaon,200000.0,1 year(s)
Wehire Talent Solutions,Customer Service Associate,Mumbai,200000.0,0 year(s)
Antraweb Technologies Private Limited,Accounts Executive,Mumbai,200000.0,1 year(s)
LimeTray,Key Account Manager (NOT A FINANCE ROLE),"Delhi, Gurgaon",325000.0,1 year(s)
Wehire Talent Solutions,Corporate Sales Executive,Mumbai,300000.0,1 year(s)
Raah Foundation,Business Development Executive,"Aurangabad, Latur, Pune, Solapur, Chandrapur, Navi Mumbai, Kalyan, Mumbai, Pimpri-Chinchwad, Nagpur",250000.0,0 year(s)
Wayspire Ed-Tech Private Limited,Corporate Sales Executive,Gurgaon,315000.0,0 year(s)
AppVersal,Operations Executive (Marketing),"Delhi, Noida",300000.0,1 year(s)
Ace Proton Communications & Digital Media Private Limited,Junior Media & Public Relations (PR) Executive,Mumbai,200000.0,0 year(s)
BNM Business Solutions LLP,Guest Relationship Executive,"Navi Mumbai, Thane",250000.0,1 year(s)
LBD Robotics Private Limited,Telecaller,"Delhi, Noida",200000.0,1 year(s)
G&T-Star Production And Entertainment Private Limited,Client Acquisition Executive,Noida,200000.0,0 year(s)
G&T-Star Production And Entertainment Private Limited,Telecaller,Noida,200000.0,0 year(s)
Internovo Ventures Private Limited,Relationship Manager - Indihomes,Mumbai,420000.0,0 year(s)
Saroj Education Group,Field Sales Associate(Eastern UP),"Agra, Ghaziabad, Gorakhpur, Jaunpur, Lucknow, Faizabad, Amethi, Kushinagar, Ambedkar Nagar, Varanasi, Allahabad, Kaushambi, Kanpur Dehat, Mirzapur",300000.0,0 year(s)
Paisabazaar,Customer Service Associate - CRM Executive,"Delhi, Gurgaon",270000.0,0 year(s)
G&T-Star Production And Entertainment Private Limited,Business Development Manager,Noida,200000.0,0 year(s)
Wehire Talent Solutions,Human Resources (HR) Executive,Mumbai,200000.0,0 year(s)
Espangle,Junior Social Media Marketing Manager,Gurgaon,350000.0,1 year(s)
VleBazaar,Accountant,Gurgaon,200000.0,1 year(s)
Wehire Talent Solutions,Customer Service JP Process,Mumbai,250000.0,1 year(s)
G&T-Star Production And Entertainment Private Limited,Female Photographer,Noida,200000.0,0 year(s)
Walnut Publication,Business Development Executive,"Faridabad, Delhi, Ghaziabad, Greater Noida, Gautam Buddha Nagar, Noida",420000.0,1 year(s)
Shruti Singhal,Academic Program Coordinator,Delhi,200000.0,1 year(s)
RethinkingWeb,Full Stack Developer,Vadodara,300000.0,1 year(s)
Think WhyNot Films,Client Servicing Executive (Corporate Video Production),"Thane, Navi Mumbai, Kalyan, Mumbai",200000.0,1 year(s)
Wehire Talent Solutions,Credit Card Collections,Mira Bhayandar,250000.0,1 year(s)
Auraa Advertising Agency,Client Solution Partner,Mumbai,240000.0,0 year(s)
The Hive Hostels,Telecaller,Mumbai,205000.0,1 year(s)
Espangle,Front Desk Manager,Gurgaon,350000.0,1 year(s)
Dolphin Ad World Private Limited,Junior Graphic Designer,Mumbai,200000.0,1 year(s)
Dolphin Ad World Private Limited,Associate Content Writer,Mumbai,200000.0,1 year(s)
Echo Booom,Business Development Associate,Mumbai,250000.0,0 year(s)
Shriji Sarekraft Impex Private Limited,Office Executive,Mumbai,200000.0,1 year(s)
Digital Factorys,Associate Accountant,Pimpri-Chinchwad,350000.0,1 year(s)
Combat Robotics India Private Limited,Associate Accountant,Pimpri-Chinchwad,800000.0,1 year(s)
SAAR Advertising And Marketing,Junior Search Engine Optimization (SEO) Executive,Dehradun,200000.0,1 year(s)
